sample_id,section,model,CER_percent,character_errors,reference_characters,seconds,wav
3584,systems,polestar,0.0,0,28,9.04,audio/03584__polestar.wav
3584,systems,everbright,0.0,0,29,8.96,audio/03584__everbright.wav
3584,systems,aemeath,0.0,0,28,8.88,audio/03584__aemeath.wav
3584,systems,feedback,0.0,0,29,8.16,audio/03584__feedback.wav
3584,systems,base,25.0,7,28,8.08,audio/03584__base.wav
3584,systems,index_tn,34.4828,10,29,8.382,audio/03584__index_tn.wav
3584,systems,index_raw,53.5714,15,28,7.326,audio/03584__index_raw.wav
3584,systems,cosy,27.5862,8,29,8.28,audio/03584__cosy.wav
3584,systems,vox,82.7586,24,29,8.48,audio/03584__vox.wav
3584,systems,fire,24.1379,7,29,8.16,audio/03584__fire.wav
3584,systems,xtts,24.1379,7,29,7.189,audio/03584__xtts.wav
10,systems,polestar,0.0,0,103,30.16,audio/00010__polestar.wav
10,systems,everbright,0.0,0,103,28.0,audio/00010__everbright.wav
10,systems,aemeath,0.0,0,103,27.04,audio/00010__aemeath.wav
10,systems,feedback,0.0,0,103,27.76,audio/00010__feedback.wav
10,systems,base,6.7961,7,103,20.8,audio/00010__base.wav
10,systems,index_tn,24.2718,25,103,25.997,audio/00010__index_tn.wav
10,systems,index_raw,33.9806,35,103,23.722,audio/00010__index_raw.wav
10,systems,cosy,5.8252,6,103,26.32,audio/00010__cosy.wav
10,systems,vox,23.301,24,103,23.04,audio/00010__vox.wav
10,systems,fire,19.4175,20,103,21.44,audio/00010__fire.wav
10,systems,xtts,5.8252,6,103,25.12,audio/00010__xtts.wav
7775,systems,polestar,0.0,0,64,17.76,audio/07775__polestar.wav
7775,systems,everbright,0.0,0,64,16.24,audio/07775__everbright.wav
7775,systems,aemeath,0.0,0,64,14.96,audio/07775__aemeath.wav
7775,systems,feedback,0.0,0,64,16.32,audio/07775__feedback.wav
7775,systems,base,37.5,24,64,18.24,audio/07775__base.wav
7775,systems,index_tn,54.6875,35,64,19.577,audio/07775__index_tn.wav
7775,systems,index_raw,76.5625,49,64,21.121,audio/07775__index_raw.wav
7775,systems,cosy,37.5,24,64,24.76,audio/07775__cosy.wav
7775,systems,vox,37.5,24,64,20.96,audio/07775__vox.wav
7775,systems,fire,43.75,28,64,17.55,audio/07775__fire.wav
7775,systems,xtts,53.125,34,64,18.795,audio/07775__xtts.wav
8914,systems,polestar,0.0,0,121,27.84,audio/08914__polestar.wav
8914,systems,everbright,0.0,0,121,30.96,audio/08914__everbright.wav
8914,systems,aemeath,0.0,0,121,23.84,audio/08914__aemeath.wav
8914,systems,feedback,0.0,0,121,36.08,audio/08914__feedback.wav
8914,systems,base,43.8017,53,121,32.0,audio/08914__base.wav
8914,systems,index_tn,52.8926,64,121,40.213,audio/08914__index_tn.wav
8914,systems,index_raw,65.2893,79,121,32.574,audio/08914__index_raw.wav
8914,systems,cosy,57.0248,69,121,53.52,audio/08914__cosy.wav
8914,systems,vox,50.4132,61,121,28.96,audio/08914__vox.wav
8914,systems,fire,28.9256,35,121,26.88,audio/08914__fire.wav
8914,systems,xtts,19.8347,24,121,31.093,audio/08914__xtts.wav
5251,systems,polestar,0.0,0,56,14.0,audio/05251__polestar.wav
5251,systems,everbright,0.0,0,55,13.68,audio/05251__everbright.wav
5251,systems,aemeath,0.0,0,55,13.36,audio/05251__aemeath.wav
5251,systems,feedback,0.0,0,56,14.72,audio/05251__feedback.wav
5251,systems,base,9.0909,5,55,13.36,audio/05251__base.wav
5251,systems,index_tn,16.0714,9,56,15.223,audio/05251__index_tn.wav
